year,position,round,heat,bib,name,country,time,notes
2013,8,2,1,554,Winny CHEBET,KEN KEN,02:01.0,
2013,1,2,2,571,Eunice Jepkoech SUM,KEN KEN,2:00.70 Q,
2013,2,2,2,959,Ajee WILSON,USA USA,2:00.90 Q,
2013,3,2,2,274,Rose Mary ALMANZA,CUB CUB,02:01.0,
2013,4,2,2,151,Marina ARZAMASOVA,BLR BLR,02:01.2,
2013,5,2,2,734,Elena KOTULSKAYA,RUS RUS,02:01.8,
2013,6,2,2,395,Marilyn OKORO,GBR GBR,02:02.3,
2013,7,2,2,597,Malika AKKAOUI,MAR MAR,02:02.3,
2013,,2,2,760,Mariya SAVINOVA,RUS RUS,02:00.7,DQ
2013,1,1,1,928,Brenda MARTINEZ,USA USA,1:59.39 Q,
2013,2,1,1,395,Marilyn OKORO,GBR GBR,1:59.43 Q SB,
2013,3,1,1,554,Winny CHEBET,KEN KEN,1:59.58 q SB,
2013,4,1,1,151,Marina ARZAMASOVA,BLR BLR,1:59.60 q SB,
2013,5,1,1,485,Marta MILANI,ITA ITA,02:02.4,
2013,6,1,1,198,Karine BELLEAU-BÉLIVEAU,CAN CAN,02:02.9,
2013,7,1,1,587,Egle BALCIÜNAITÉ,LTU LTU,02:08.8,
2013,,1,1,760,Mariya SAVINOVA,RUS RUS,01:59.4,DQ
2013,1,1,2,923,Alysia MONTAÑO,USA USA,1:59.47 Q,
2013,2,1,2,854,Nataliia LUPU,UKR UKR,1:59.59 Q SB,
2013,3,1,2,600,Halima HACHLAF,MAR MAR,2:00.04 Q,
2013,4,1,2,646,Angela PETTY,NZL NZL,02:00.6,
2013,5,1,2,392,Jessica JUDD,GBR GBR,02:01.5,
2013,6,1,2,246,Chunyu WANG,CHN CHN,2:02.05 SB,
2013,7,1,2,468,Rose-Anne GALLIGAN,IRL IRL,02:02.0,
2013,8,1,2,746,Marina POSPELOVA,RUS RUS,02:03.4,
2013,1,1,3,597,Malika AKKAOUI,MAR MAR,1:59.63 Q,
2013,2,1,3,745,Ekaterina POISTOGOVA,RUS RUS,1:59.90 Q,
2013,3,1,3,959,Ajee WILSON,USA USA,2:00.00 Q,
2013,4,1,3,274,Rose Mary ALMANZA,CUB CUB,2:00.27 q,
2013,5,1,3,289,Lenka MASNÁ,CZE CZE,2:00.31 q SB,
2013,6,1,3,511,Natoya GOULE,JAM JAM,02:00.9,
2013,7,1,3,855,Olha LYAKHOVA,UKR UKR,02:01.0,
2013,8,1,3,197,Elisabeth MANDABA,CAF CAF,2:14.35 SB,
2013,1,1,4,571,Eunice Jepkoech SUM,KEN KEN,2:00.49 Q,
2013,2,1,4,734,Elena KOTULSKAYA,RUS RUS,2:00.50 Q,
2013,3,1,4,394,Laura MUIR,GBR GBR,2:00.80 Q PB,
2013,4,1,4,340,Fantu MAGISO,ETH ETH,02:01.1,
2013,5,1,4,116,Kelly HETHERINGTON,AUS AUS,02:01.6,
2013,6,1,4,199,Melissa BISHOP,CAN CAN,02:01.9,
2013,7,1,4,549,Margarita MUKASHEVA,KAZ KAZ,02:02.1,
2013,8,1,4,689,Elena Mirela LAVRIC,ROU ROU,02:10.4,
