"year","position","round","heat","athlete","country","time","notes"
2011,"1",1,3,"Maryam Yusuf Jamal"," Bahrain (BHR)",247.04,"Q"
2011,"2",1,3,"Nuria Fernández"," Spain (ESP)",247.29,"Q"
2011,"3",1,3,"Morgan Uceny"," United States (USA)",247.43,"Q"
2011,"4",1,3,"Hellen Onsando Obiri"," Kenya (KEN)",247.59,"Q, PB"
2011,"5",1,3,"Yekaterina Martynova"," Russia (RUS)",247.76,"Q"
2011,"6",1,3,"Gelete Burka"," Ethiopia (ETH)",247.91,"Q"
2011,"7",1,3,"Aslı Çakır"," Turkey (TUR)",248.05,"q"
2011,"8",1,3,"Ingvill Måkestad Bovim"," Norway (NOR)",248.26,"q"
2011,"9",1,3,"Kaila McKnight"," Australia (AUS)",248.74,"q"
2011,"10",1,3,"Renata Pliś"," Poland (POL)",248.83,"q"
2011,"11",1,3,"Anna Mishchenko"," Ukraine (UKR)",249.02,"q"
2011,"12",1,2,"Tugba Karakaya"," Turkey (TUR)",250.38,"Q"
2011,"13",1,2,"Btissam Lakhouad"," Morocco (MAR)",250.71,"Q"
2011,"14",1,2,"Viola Kibiwot"," Kenya (KEN)",250.74,"Q"
2011,"15",1,2,"Natalia Rodríguez"," Spain (ESP)",250.76,"Q"
2011,"16",1,2,"Jennifer Barringer Simpson"," United States (USA)",250.84,"Q"
2011,"17",1,2,"Nataliya Tobias"," Ukraine (UKR)",250.99,"Q"
2011,"18",1,2,"Olesya Syreva"," Russia (RUS)",251.24,"q"
2011,"19",1,2,"Natallia Kareiva"," Belarus (BLR)",252.03,"DQ"
2011,"19",1,2,"Genzeb Shumi"," Bahrain (BHR)",252.32,""
2011,"20",1,2,"Meskerem Assefa"," Ethiopia (ETH)",252.43,""
2011,"21",1,2,"Lisa Dobriskey"," Great Britain & N.I. (GBR)",252.7,""
2011,"22",1,1,"Hannah England"," Great Britain & N.I. (GBR)",253.45,"Q"
2011,"23",1,1,"Mimi Belete"," Bahrain (BHR)",253.5,"Q"
2011,"24",1,1,"Siham Hilali"," Morocco (MAR)",253.59,"Q"
2011,"25",1,1,"Natalya Yevdokimova"," Russia (RUS)",254.36,"Q"
2011,"26",1,1,"Nancy Lagat"," Kenya (KEN)",254.37,"Q"
2011,"27",1,1,"Shannon Rowbury"," United States (USA)",254.43,"Q"
2011,"28",1,1,"Kalkidan Gezahegne"," Ethiopia (ETH)",254.45,"q *"
2011,"29",1,1,"Isabel Macías"," Spain (ESP)",254.75,""
2011,"30",1,3,"Malika Akkaoui"," Morocco (MAR)",254.79,""
2011,"31",1,1,"Anzhela Shevchenko"," Ukraine (UKR)",256.22,""
2011,"32",1,2,"Gladys Landaverde"," El Salvador (ESA)",268.5,"SB"
2011,"33",1,1,"Tandiwe Nyathi"," Zimbabwe (ZIM)",272.79,"PB"
2011,"34",1,1,"Nikki Hamblin"," New Zealand (NZL)",276.7,""
2011,"1",2,2,"Natalia Rodríguez"," Spain (ESP)",247.88,"Q"
2011,"2",2,2,"Jennifer Barringer Simpson"," United States (USA)",247.9,"Q"
2011,"3",2,2,"Nataliya Tobias"," Ukraine (UKR)",247.99,"Q"
2011,"4",2,2,"Ingvill Måkestad Bovim"," Norway (NOR)",248.03,"Q"
2011,"5",2,2,"Btissam Lakhouad"," Morocco (MAR)",248.1,"Q"
2011,"6",2,2,"Hannah England"," Great Britain & N.I. (GBR)",248.31,"q"
2011,"7",2,2,"Mimi Belete"," Bahrain (BHR)",248.42,"q"
2011,"8",2,1,"Tugba Karakaya"," Turkey (TUR)",248.58,"Q"
2011,"9",2,2,"Viola Kibiwot"," Kenya (KEN)",248.64,""
2011,"11",2,1,"Hellen Onsando Obiri"," Kenya (KEN)",248.93,"Q"
2011,"12",2,1,"Kalkidan Gezahegne"," Ethiopia (ETH)",248.96,"Q"
2011,"13",2,1,"Maryam Yusuf Jamal"," Bahrain (BHR)",248.96,"Q"
2011,"14",2,1,"Morgan Uceny"," United States (USA)",249.03,"Q"
2011,"15",2,1,"Nuria Fernández"," Spain (ESP)",249.53,""
2011,"16",2,1,"Siham Hilali"," Morocco (MAR)",249.64,""
2011,"17",2,1,"Anna Mishchenko"," Ukraine (UKR)",249.78,""
2011,"18",2,1,"Olesya Syreva"," Russia (RUS)",249.83,""
2011,"19",2,1,"Kaila McKnight"," Australia (AUS)",250.83,""
2011,"20",2,1,"Renata Pliś"," Poland (POL)",251.12,""
2011,"21",2,1,"Shannon Rowbury"," United States (USA)",251.49,""
2011,"22",2,2,"Aslı Çakır"," Turkey (TUR)",251.51,""
2011,"23",2,1,"Natalya Yevdokimova"," Russia (RUS)",251.7,""
2011,"24",2,2,"Nancy Lagat"," Kenya (KEN)",252.92,""
2011,"",2,2,"Gelete Burka"," Ethiopia (ETH)",NA,""
2011,"DSQ",2,2,"Yekaterina Martynova"," Russia (RUS)",248.67,""
2011,"1",3,1,"Jennifer Barringer Simpson"," United States (USA)",245.4,""
2011,"2",3,1,"Hannah England"," Great Britain & N.I. (GBR)",245.68,""
2011,"3",3,1,"Natalia Rodríguez"," Spain (ESP)",245.87,""
2011,"4",3,1,"Btissam Lakhouad"," Morocco (MAR)",246.18,""
