"year","position","round","heat","athlete","country","time","notes"
2011,"5",3,1,"Kalkidan Gezahegne"," Ethiopia (ETH)",246.42,""
2011,"6",3,1,"Ingvill Måkestad Bovim"," Norway (NOR)",246.85,""
2011,"7",3,1,"Mimi Belete"," Bahrain (BHR)",247.6,""
2011,"8",3,1,"Tugba Karakaya"," Turkey (TUR)",248.14,""
2011,"9",3,1,"Morgan Uceny"," United States (USA)",259.71,""
2011,"10",3,1,"Hellen Onsando Obiri"," Kenya (KEN)",260.23,""
2011,"11",3,1,"Maryam Yusuf Jamal"," Bahrain (BHR)",262.67,""
2011,"-",3,1,"Nataliya Tobias"," Ukraine (UKR)",248.68,"DQ"
2013,"1",1,3,"Genzebe Dibaba"," Ethiopia (ETH)",246.78,"Q"
2013,"2",1,3,"Hellen Onsando Obiri"," Kenya (KEN)",246.98,"Q"
2013,"3",1,2,"Zoe Buckman"," Australia (AUS)",246.99,"Q"
2013,"4",1,2,"Jennifer Simpson"," United States (USA)",247.16,"Q"
2013,"5",1,2,"Yekaterina Sharmina"," Russia (RUS)",247.17,"Q"
2013,"6",1,1,"Abeba Aregawi"," Sweden (SWE)",247.66,"Q"
2013,"7",1,1,"Siham Hilali"," Morocco (MAR)",247.82,"Q"
2013,"8",1,2,"Rababe Arafi"," Morocco (MAR)",247.84,"Q"
2013,"9",1,1,"Svetlana Podosenova"," Russia (RUS)",247.87,"Q"
2013,"10",1,1,"Nancy Langat"," Kenya (KEN)",247.98,"Q"
2013,"11",1,3,"Hannah England"," Great Britain & N.I. (GBR)",248.05,"Q"
2013,"12",1,1,"Renata Pliś"," Poland (POL)",248.2,"Q"
2013,"13",1,1,"Mary Cain"," United States (USA)",248.21,"Q"
2013,"14",1,3,"Yelena Korobkina"," Russia (RUS)",248.33,"Q"
2013,"15",1,3,"Natalia Rodríguez"," Spain (ESP)",248.44,"Q"
2013,"16",1,3,"Nicole Edwards Sifuentes"," Canada (CAN)",248.54,"Q"
2013,"17",1,3,"Sonja Roman"," Slovenia (SLO)",248.58,"q"
2013,"18",1,1,"Kate van Buskirk"," Canada (CAN)",248.65,"q"
2013,"19",1,2,"Faith Kipyegon"," Kenya (KEN)",248.66,"Q"
2013,"20",1,1,"Luiza Gega"," Albania (ALB)",248.76,"q"
2013,"21",1,1,"Maureen Koster"," Netherlands (NED)",248.99,"q"
2013,"22",1,3,"Sarah Brown"," United States (USA)",249,"q"
2013,"23",1,3,"Btissam Lakhouad"," Morocco (MAR)",249.15,"q"
2013,"24",1,2,"Mimi Belete"," Bahrain (BHR)",249.27,"Q"
2013,"25",1,3,"Diana Sujew"," Germany (GER)",249.4,""
2013,"26",1,3,"Ioana Doagă"," Romania (ROM)",249.78,""
2013,"27",1,2,"Sheila Reid"," Canada (CAN)",250.9,""
2013,"28",1,2,"Margherita Magnani"," Italy (ITA)",251.15,""
2013,"29",1,1,"Gelete Burka"," Ethiopia (ETH)",251.26,""
2013,"30",1,2,"Senbere Teferi"," Ethiopia (ETH)",251.41,""
2013,"31",1,2,"Cory McGee"," United States (USA)",252.33,""
2013,"32",1,2,"Betlhem Desalegn"," United Arab Emirates (UAE)",252.97,""
2013,"33",1,1,"Laura Weightman"," Great Britain & N.I. (GBR)",254.38,""
2013,"34",1,1,"Rosibel García"," Colombia (COL)",255.38,"NR"
2013,"35",1,3,"Tuğba Koyuncu"," Turkey (TUR)",255.56,""
2013,"36",1,2,"Eliane Saholinirina"," Madagascar (MAD)",258.04,"SB"
2013,"37",1,1,"Amela Terzić"," Serbia (SRB)",267.89,""
2013,"1",2,1,"Zoe Buckman"," Australia (AUS)",244.82,"Q, PB"
2013,"2",2,1,"Faith Kipyegon"," Kenya (KEN)",244.83,"Q"
2013,"3",2,1,"Yelena Korobkina"," Russia (RUS)",245.18,"Q, PB"
2013,"4",2,1,"Mary Cain"," United States (USA)",245.21,"Q"
2013,"5",2,1,"Genzebe Dibaba"," Ethiopia (ETH)",245.23,"Q"
2013,"6",2,1,"Nancy Langat"," Kenya (KEN)",245.3,"q"
2013,"7",2,1,"Siham Hilali"," Morocco (MAR)",245.32,"q"
2013,"8",2,1,"Svetlana Podosenova"," Russia (RUS)",245.36,""
2013,"9",2,2,"Abeba Aregawi"," Sweden (SWE)",245.66,"Q"
2013,"10",2,2,"Hellen Onsando Obiri"," Kenya (KEN)",245.76,"Q"
2013,"11",2,2,"Jennifer Simpson"," United States (USA)",245.79,"Q"
2013,"12",2,1,"Nicole Edwards Sifuentes"," Canada (CAN)",246.3,""
2013,"13",2,2,"Yekaterina Sharmina"," Russia (RUS)",246.49,"DQ"
2013,"14",2,2,"Hannah England"," Great Britain & N.I. (GBR)",246.8,"Q"
2013,"15",2,2,"Kate van Buskirk"," Canada (CAN)",247.36,"PB"
2013,"16",2,2,"Renata Pliś"," Poland (POL)",248.02,""
2013,"17",2,1,"Maureen Koster"," Netherlands (NED)",248.15,""
2013,"18",2,1,"Sonja Roman"," Slovenia (SLO)",248.63,""
2013,"19",2,1,"Luiza Gega"," Albania (ALB)",248.79,""
2013,"20",2,2,"Natalia Rodríguez"," Spain (ESP)",249.18,""
2013,"21",2,2,"Rababe Arafi"," Morocco (MAR)",249.86,""
2013,"22",2,2,"Sarah Brown"," United States (USA)",252.16,""
2013,"23",2,2,"Mimi Belete"," Bahrain (BHR)",254.22,""
2013,"",2,2,"Btissam Lakhouad"," Morocco (MAR)",NA,""
2013,"1",3,1,"Abeba Aregawi"," Sweden (SWE)",242.67,""
2013,"2",3,1,"Jennifer Simpson"," United States (USA)",242.99,""
2013,"3",3,1,"Hellen Onsando Obiri"," Kenya (KEN)",243.86,""
2013,"4",3,1,"Hannah England"," Great Britain & N.I. (GBR)",244.98,""
2013,"5",3,1,"Faith Kipyegon"," Kenya (KEN)",245.08,""
2013,"7",3,1,"Zoe Buckman"," Australia (AUS)",245.77,""
2013,"8",3,1,"Genzebe Dibaba"," Ethiopia (ETH)",245.99,""
2013,"9",3,1,"Nancy Langat"," Kenya (KEN)",246.01,""
2013,"10",3,1,"Mary Cain"," United States (USA)",247.19,""
2013,"11",3,1,"Siham Hilali"," Morocco (MAR)",249.16,""
2013,"12",3,1,"Yelena Korobkina"," Russia (RUS)",250.18,""
2013,"DQ",3,1,"Yekaterina Sharmina"," Russia (RUS)",245.49,"doping violation"
