year,round,place,heat,athlete,country,time,notes
2011,2,15,1,Nuria Fernández, Spain (ESP),4:09.53,
2011,2,16,1,Siham Hilali, Morocco (MAR),4:09.64,
2011,2,17,1,Anna Mishchenko, Ukraine (UKR),4:09.78,
2011,2,18,1,Olesya Syreva, Russia (RUS),4:09.83,
2011,2,19,1,Kaila McKnight, Australia (AUS),4:10.83,
2011,2,20,1,Renata Pliś, Poland (POL),4:11.12,
2011,2,21,1,Shannon Rowbury, United States (USA),4:11.49,
2011,2,22,2,Aslı Çakır, Turkey (TUR),4:11.51,
2011,2,23,1,Natalya Yevdokimova, Russia (RUS),4:11.70,
2011,2,24,2,Nancy Lagat, Kenya (KEN),4:12.92,
2011,2,,2,Gelete Burka, Ethiopia (ETH),DNF,
2011,2,DSQ,2,Yekaterina Martynova, Russia (RUS),4:08.67,
2011,3,1,1,Jennifer Barringer Simpson, United States (USA),4:05.40,
2011,3,2,1,Hannah England, Great Britain & N.I. (GBR),4:05.68,
2011,3,3,1,Natalia Rodríguez, Spain (ESP),4:05.87,
2011,3,4,1,Btissam Lakhouad, Morocco (MAR),4:06.18,
2011,3,5,1,Kalkidan Gezahegne, Ethiopia (ETH),4:06.42,
2011,3,6,1,Ingvill Måkestad Bovim, Norway (NOR),4:06.85,
2011,3,7,1,Mimi Belete, Bahrain (BHR),4:07.60,
2011,3,8,1,Tugba Karakaya, Turkey (TUR),4:08.14,
2011,3,9,1,Morgan Uceny, United States (USA),4:19.71,
2011,3,10,1,Hellen Onsando Obiri, Kenya (KEN),4:20.23,
2011,3,11,1,Maryam Yusuf Jamal, Bahrain (BHR),4:22.67,
2011,3,-,1,Nataliya Tobias, Ukraine (UKR),4:08.68,DQ
2013,1,1,3,Genzebe Dibaba, Ethiopia (ETH),4:06.78,Q
2013,1,2,3,Hellen Onsando Obiri, Kenya (KEN),4:06.98,Q
2013,1,3,2,Zoe Buckman, Australia (AUS),4:06.99,Q
2013,1,4,2,Jennifer Simpson, United States (USA),4:07.16,Q
2013,1,5,2,Yekaterina Sharmina, Russia (RUS),4:07.17,Q
2013,1,6,1,Abeba Aregawi, Sweden (SWE),4:07.66,Q
2013,1,7,1,Siham Hilali, Morocco (MAR),4:07.82,Q
2013,1,8,2,Rababe Arafi, Morocco (MAR),4:07.84,Q
2013,1,9,1,Svetlana Podosenova, Russia (RUS),4:07.87,Q
2013,1,10,1,Nancy Langat, Kenya (KEN),4:07.98,Q
2013,1,11,3,Hannah England, Great Britain & N.I. (GBR),4:08.05,Q
2013,1,12,1,Renata Pliś, Poland (POL),4:08.20,Q
2013,1,13,1,Mary Cain, United States (USA),4:08.21,Q
2013,1,14,3,Yelena Korobkina, Russia (RUS),4:08.33,Q
2013,1,15,3,Natalia Rodríguez, Spain (ESP),4:08.44,Q
2013,1,16,3,Nicole Edwards Sifuentes, Canada (CAN),4:08.54,Q
2013,1,17,3,Sonja Roman, Slovenia (SLO),4:08.58,q
2013,1,18,1,Kate van Buskirk, Canada (CAN),4:08.65,q
2013,1,19,2,Faith Kipyegon, Kenya (KEN),4:08.66,Q
2013,1,20,1,Luiza Gega, Albania (ALB),4:08.76,q
2013,1,21,1,Maureen Koster, Netherlands (NED),4:08.99,q
2013,1,22,3,Sarah Brown, United States (USA),4:09.00,q
2013,1,23,3,Btissam Lakhouad, Morocco (MAR),4:09.15,q
2013,1,24,2,Mimi Belete, Bahrain (BHR),4:09.27,Q
2013,1,25,3,Diana Sujew, Germany (GER),4:09.40,
2013,1,26,3,Ioana Doagă, Romania (ROM),4:09.78,
2013,1,27,2,Sheila Reid, Canada (CAN),4:10.90,
2013,1,28,2,Margherita Magnani, Italy (ITA),4:11.15,
2013,1,29,1,Gelete Burka, Ethiopia (ETH),4:11.26,
2013,1,30,2,Senbere Teferi, Ethiopia (ETH),4:11.41,
2013,1,31,2,Cory McGee, United States (USA),4:12.33,
2013,1,32,2,Betlhem Desalegn, United Arab Emirates (UAE),4:12.97,
2013,1,33,1,Laura Weightman, Great Britain & N.I. (GBR),4:14.38,
2013,1,34,1,Rosibel García, Colombia (COL),4:15.38,NR
2013,1,35,3,Tuğba Koyuncu, Turkey (TUR),4:15.56,
2013,1,36,2,Eliane Saholinirina, Madagascar (MAD),4:18.04,SB
2013,1,37,1,Amela Terzić, Serbia (SRB),4:27.89,
2013,2,1,1,Zoe Buckman, Australia (AUS),4:04.82,"Q, PB"
2013,2,2,1,Faith Kipyegon, Kenya (KEN),4:04.83,Q
2013,2,3,1,Yelena Korobkina, Russia (RUS),4:05.18,"Q, PB"
2013,2,4,1,Mary Cain, United States (USA),4:05.21,Q
2013,2,5,1,Genzebe Dibaba, Ethiopia (ETH),4:05.23,Q
2013,2,6,1,Nancy Langat, Kenya (KEN),4:05.30,q
2013,2,7,1,Siham Hilali, Morocco (MAR),4:05.32,q
2013,2,8,1,Svetlana Podosenova, Russia (RUS),4:05.36,
2013,2,9,2,Abeba Aregawi, Sweden (SWE),4:05.66,Q
2013,2,10,2,Hellen Onsando Obiri, Kenya (KEN),4:05.76,Q
2013,2,11,2,Jennifer Simpson, United States (USA),4:05.79,Q
2013,2,12,1,Nicole Edwards Sifuentes, Canada (CAN),4:06.30,
2013,2,13,2,Yekaterina Sharmina, Russia (RUS),4:06.49,DQ
2013,2,14,2,Hannah England, Great Britain & N.I. (GBR),4:06.80,Q
2013,2,15,2,Kate van Buskirk, Canada (CAN),4:07.36,PB
2013,2,16,2,Renata Pliś, Poland (POL),4:08.02,
2013,2,17,1,Maureen Koster, Netherlands (NED),4:08.15,
2013,2,18,1,Sonja Roman, Slovenia (SLO),4:08.63,
2013,2,19,1,Luiza Gega, Albania (ALB),4:08.79,
2013,2,20,2,Natalia Rodríguez, Spain (ESP),4:09.18,
2013,2,21,2,Rababe Arafi, Morocco (MAR),4:09.86,
2013,2,22,2,Sarah Brown, United States (USA),4:12.16,
2013,2,23,2,Mimi Belete, Bahrain (BHR),4:14.22,
2013,2,,2,Btissam Lakhouad, Morocco (MAR),DNF,
2013,3,1,1,Abeba Aregawi, Sweden (SWE),4:02.67,
2013,3,2,1,Jennifer Simpson, United States (USA),4:02.99,
2013,3,3,1,Hellen Onsando Obiri, Kenya (KEN),4:03.86,
2013,3,4,1,Hannah England, Great Britain & N.I. (GBR),4:04.98,
2013,3,5,1,Faith Kipyegon, Kenya (KEN),4:05.08,
2013,3,7,1,Zoe Buckman, Australia (AUS),4:05.77,
2013,3,8,1,Genzebe Dibaba, Ethiopia (ETH),4:05.99,
2013,3,9,1,Nancy Langat, Kenya (KEN),4:06.01,
2013,3,10,1,Mary Cain, United States (USA),4:07.19,
2013,3,11,1,Siham Hilali, Morocco (MAR),4:09.16,
2013,3,12,1,Yelena Korobkina, Russia (RUS),4:10.18,
2013,3,DQ,1,Yekaterina Sharmina, Russia (RUS),4:05.49,doping violation
