year,round,place,heat,athlete,country,time,notes
2011,1,1,3,Maryam Yusuf Jamal, Bahrain (BHR),4:07.04,Q
2011,1,2,3,Nuria Fernández, Spain (ESP),4:07.29,Q
2011,1,3,3,Morgan Uceny, United States (USA),4:07.43,Q
2011,1,4,3,Hellen Onsando Obiri, Kenya (KEN),4:07.59,"Q, PB"
2011,1,5,3,Yekaterina Martynova, Russia (RUS),4:07.76,Q
2011,1,6,3,Gelete Burka, Ethiopia (ETH),4:07.91,Q
2011,1,7,3,Aslı Çakır, Turkey (TUR),4:08.05,q
2011,1,8,3,Ingvill Måkestad Bovim, Norway (NOR),4:08.26,q
2011,1,9,3,Kaila McKnight, Australia (AUS),4:08.74,q
2011,1,10,3,Renata Pliś, Poland (POL),4:08.83,q
2011,1,11,3,Anna Mishchenko, Ukraine (UKR),4:09.02,q
2011,1,12,2,Tugba Karakaya, Turkey (TUR),4:10.38,Q
2011,1,13,2,Btissam Lakhouad, Morocco (MAR),4:10.71,Q
2011,1,14,2,Viola Kibiwot, Kenya (KEN),4:10.74,Q
2011,1,15,2,Natalia Rodríguez, Spain (ESP),4:10.76,Q
2011,1,16,2,Jennifer Barringer Simpson, United States (USA),4:10.84,Q
2011,1,17,2,Nataliya Tobias, Ukraine (UKR),4:10.99,Q
2011,1,18,2,Olesya Syreva, Russia (RUS),4:11.24,q
2011,1,19,2,Natallia Kareiva, Belarus (BLR),4:12.03,DQ
2011,1,19,2,Genzeb Shumi, Bahrain (BHR),4:12.32,
2011,1,20,2,Meskerem Assefa, Ethiopia (ETH),4:12.43,
2011,1,21,2,Lisa Dobriskey, Great Britain & N.I. (GBR),4:12.70,
2011,1,22,1,Hannah England, Great Britain & N.I. (GBR),4:13.45,Q
2011,1,23,1,Mimi Belete, Bahrain (BHR),4:13.50,Q
2011,1,24,1,Siham Hilali, Morocco (MAR),4:13.59,Q
2011,1,25,1,Natalya Yevdokimova, Russia (RUS),4:14.36,Q
2011,1,26,1,Nancy Lagat, Kenya (KEN),4:14.37,Q
2011,1,27,1,Shannon Rowbury, United States (USA),4:14.43,Q
2011,1,28,1,Kalkidan Gezahegne, Ethiopia (ETH),4:14.45,q *
2011,1,29,1,Isabel Macías, Spain (ESP),4:14.75,
2011,1,30,3,Malika Akkaoui, Morocco (MAR),4:14.79,
2011,1,31,1,Anzhela Shevchenko, Ukraine (UKR),4:16.22,
2011,1,32,2,Gladys Landaverde, El Salvador (ESA),4:28.50,SB
2011,1,33,1,Tandiwe Nyathi, Zimbabwe (ZIM),4:32.79,PB
2011,1,34,1,Nikki Hamblin, New Zealand (NZL),4:36.70,
2011,2,1,2,Natalia Rodríguez, Spain (ESP),4:07.88,Q
2011,2,2,2,Jennifer Barringer Simpson, United States (USA),4:07.90,Q
2011,2,3,2,Nataliya Tobias, Ukraine (UKR),4:07.99,Q
2011,2,4,2,Ingvill Måkestad Bovim, Norway (NOR),4:08.03,Q
2011,2,5,2,Btissam Lakhouad, Morocco (MAR),4:08.10,Q
2011,2,6,2,Hannah England, Great Britain & N.I. (GBR),4:08.31,q
2011,2,7,2,Mimi Belete, Bahrain (BHR),4:08.42,q
2011,2,8,1,Tugba Karakaya, Turkey (TUR),4:08.58,Q
2011,2,9,2,Viola Kibiwot, Kenya (KEN),4:08.64,
2011,2,11,1,Hellen Onsando Obiri, Kenya (KEN),4:08.93,Q
2011,2,12,1,Kalkidan Gezahegne, Ethiopia (ETH),4:08.96,Q
2011,2,13,1,Maryam Yusuf Jamal, Bahrain (BHR),4:08.96,Q
2011,2,14,1,Morgan Uceny, United States (USA),4:09.03,Q
